city,prov,time,pm25,pmnew
Haidong,Qinghai,2017/3/1,44,35
Hainan,Qinghai,2017/3/1,29,20.43
Haixi,Qinghai,2017/3/1,20,13.69
Handan,Hebei,2017/3/1,49,47.33
Hanzhong,Shaanxi,2017/3/1,45,40.97
Hetian,Xinjiang,2017/3/1,25.75,21.09
Heze,Shandong,2017/3/1,73,70.84
Hegang,Heilongjiang,2017/3/1,30,29.44
Heihe,Heilongjiang,2017/3/1,28,27.97
Hengshui,Hebei,2017/3/1,74,71.94
Hohhot,Inner Mongolia,2017/3/1,41,35.83
Hulunbuir,Inner Mongolia,2017/3/1,22,21.15
Huludao,Liaoning,2017/3/1,52,51.61
Huangnan,Qinghai,2017/3/1,40,28.49
Jixi,Heilongjiang,2017/3/1,55,53.63
Jilin,Jilin,2017/3/1,61,59.77
Jinan,Shandong,2017/3/1,68,64.94
Jining,Shandong,2017/3/1,53,51.52
Jinzhou,Liaoning,2017/3/1,57,55.92
Jincheng,Shanxi,2017/3/1,71,64.42
Jiuquan,Gansu,2017/3/1,30,24.95
Kaifeng,Henan,2017/3/1,58,55.86
Kelamayi,Xinjiang,2017/3/1,40,38.68
Kezilesu,Xinjiang,2017/3/1,12,9.97
Lanzhou,Gansu,2017/3/1,41,32.9
Langfang,Hebei,2017/3/1,64,62.59
Liaocheng,Shandong,2017/3/1,73,70.98
Linxia,Gansu,2017/3/1,45,35.47
Linyi,Shandong,2017/3/1,63,60.66
Longnan,Gansu,2017/3/1,28,23.81
Lvliang,Shanxi,2017/3/1,56,49.43
Luoyang,Henan,2017/3/1,74,69.28
Mudanjiang,Heilongjiang,2017/3/1,36,35.26
Nanyang,Henan,2017/3/1,46,44.03
Panjin,Liaoning,2017/3/1,49,48.64
Pingdingshan,Henan,2017/3/1,59,56.65
Pingliang,Gansu,2017/3/1,31,26.25
Qitaihe,Heilongjiang,2017/3/1,53,51.89
Qiqihaer,Heilongjiang,2017/3/1,42,41.58
Qinhuangdao,Hebei,2017/3/1,55,54.6
Qingdao,Shandong,2017/3/1,44,42.89
Qingyang,Gansu,2017/3/1,40,33.45
Rizhao,Shandong,2017/3/1,54,52.86
Sanmenxia,Henan,2017/3/1,63,58.46
Shangluo,Shaanxi,2017/3/1,35,31.33
Shangqiu,Henan,2017/3/1,50,48.62
Shenyang,Liaoning,2017/3/1,84,83.29
Shihezi,Xinjiang,2017/3/1,84,81.31
Shijiazhuang,Hebei,2017/3/1,79,75.92
Shuozhou,Shanxi,2017/3/1,56,49.03
Siping,Jilin,2017/3/1,65,64.06
Songyuan,Jilin,2017/3/1,53,52.32
Suihua,Heilongjiang,2017/3/1,33,32.65
Taiyuan,Shanxi,2017/3/1,55,49.34
Taian,Shandong,2017/3/1,62,51.86
Tangshan,Hebei,2017/3/1,70,68.61
Tianjin,Tianjin,2017/3/1,70,68.36
Tianshui,Gansu,2017/3/1,39,33.64
Tieling,Liaoning,2017/3/1,83,81.97
Tonghua,Jilin,2017/3/1,44,42.1
Tongliao,Inner Mongolia,2017/3/1,43,42.06
Tongchuan,Shaanxi,2017/3/1,53,47.67
Tulufan,Xinjiang,2017/3/1,27,25.85
Weihai,Shandong,2017/3/1,42,41.04
Weifang,Shandong,2017/3/1,63,61.59
Weinan,Shaanxi,2017/3/1,70,65.52
Wuhai,Inner Mongolia,2017/3/1,41,35.64
Ulanqab,Inner Mongolia,2017/3/1,34,28.99
Wulumuqi,Xinjiang,2017/3/1,101,92.18
Wuzhong,Ningxia,2017/3/1,36,31.09
Wuwei,Gansu,2017/3/1,32,25.03
Xining,Qinghai,2017/3/1,33,24.92
Xilingol League,Inner Mongolia,2017/3/1,14,12.62
Xianyang,Shaanxi,2017/3/1,77,71.04
Xinzhou,Shanxi,2017/3/1,62,55.54
Xinxiang,Henan,2017/3/1,58,55.88
Xinyang,Henan,2017/3/1,52,49.68
Xingtai,Hebei,2017/3/1,63,60.85
Hinggan League,Inner Mongolia,2017/3/1,25,23.83
Xuchang,Henan,2017/3/1,60,58.23
Yantai,Shandong,2017/3/1,46,45.07
Yanan,Shaanxi,2017/3/1,43,37.02
Yanbian,Jilin,2017/3/1,41,39.77
Yangquan,Shanxi,2017/3/1,65,58.29
Yichun,Heilongjiang,2017/3/1,14,13.8
Yilihasake,Xinjiang,2017/3/1,46,42.16
Yinchuan,Ningxia,2017/3/1,47,40.71
Yingkou,Liaoning,2017/3/1,53,52.69
Yulin,Shaanxi,2017/3/1,31,26.84
Yushu,Qinghai,2017/3/1,21,12.74
Yuncheng,Shanxi,2017/3/1,64,59.7
Zhangjiakou,Hebei,2017/3/1,35,31.77
Zhangye,Gansu,2017/3/1,30,24.94
Changchun,Jilin,2017/3/1,61,59.49
Changzhi,Shanxi,2017/3/1,65,57.12
Zhengzhou,Henan,2017/3/1,62,59.43
Zhongwei,Ningxia,2017/3/1,35,29.85
Zhoukou,Henan,2017/3/1,54,52.13
Zhumadian,Henan,2017/3/1,51,49.24
Zibo,Shandong,2017/3/1,66,63.46
Chifeng,Inner Mongolia,2017/3/1,36,33.35
Jinzhong,Shanxi,2017/3/1,58,52.11
Shuangyashan,Heilongjiang,2017/3/1,42,42
Alxa League,Inner Mongolia,2017/4/1,30,28.78
Ankang,Shaanxi,2017/4/1,25,22.72
Anyang,Henan,2017/4/1,55,51.23
Anshan,Liaoning,2017/4/1,43,40.43
Bayannur,Inner Mongolia,2017/4/1,29,24.56
Baicheng,Jilin,2017/4/1,24,22.56
Baotou,Inner Mongolia,2017/4/1,31,26.43
Baoji,Shaanxi,2017/4/1,45,39.02
Baoding,Hebei,2017/4/1,67,63.11
Beijing,Beijing,2017/4/1,53,49.57
Benxi,Liaoning,2017/4/1,39,36.49
Binzhou,Shandong,2017/4/1,73,68.83
Bozhou,Xinjiang,2017/4/1,23,21.15
Cangzhou,Hebei,2017/4/1,56,52.58
Changjizhou,Xinjiang,2017/4/1,27,24.6
Chaoyang,Liaoning,2017/4/1,33,30.64
Chengde,Hebei,2017/4/1,29,26.19
Dalian,Liaoning,2017/4/1,40,37.68
Daqing,Heilongjiang,2017/4/1,33,31.2
Datong,Shanxi,2017/4/1,28,23.83
Daxinganling,Heilongjiang,2017/4/1,11,10.3
Dandong,Liaoning,2017/4/1,37,35.44
Dezhou,Shandong,2017/4/1,59,55.77
Dingxi,Gansu,2017/4/1,28,20.77
Dongying,Shandong,2017/4/1,59,55.55
Ordos,Inner Mongolia,2017/4/1,18,14.57
Fushun,Liaoning,2017/4/1,44,41.62
Fuxin,Liaoning,2017/4/1,33,30.81
Gannan,Gansu,2017/4/1,31,20.82
Guyuan,Ningxia,2017/4/1,22,17.32
Guoluo,Qinghai,2017/4/1,25,15.63
Harbin,Heilongjiang,2017/4/1,60,56.98
Hami,Xinjiang,2017/4/1,21,18.18
Haibei,Qinghai,2017/4/1,28,NA
Haidong,Qinghai,2017/4/1,30,23.26
Hainan,Qinghai,2017/4/1,25,17.25
Haixi,Qinghai,2017/4/1,20,13.38
Handan,Hebei,2017/4/1,77,71.58
Hanzhong,Shaanxi,2017/4/1,38,33.67
Hetian,Xinjiang,2017/4/1,21,16.82
Heze,Shandong,2017/4/1,61,57.17
Hegang,Heilongjiang,2017/4/1,35,32.95
Heihe,Heilongjiang,2017/4/1,27,25.88
Hengshui,Hebei,2017/4/1,63,59.06
Hohhot,Inner Mongolia,2017/4/1,29,24.38
Hulunbuir,Inner Mongolia,2017/4/1,16,14.47
Huludao,Liaoning,2017/4/1,45,42.72
Huangnan,Qinghai,2017/4/1,31,21.66
Jixi,Heilongjiang,2017/4/1,48,44.91
Jilin,Jilin,2017/4/1,59,55.34
Jinan,Shandong,2017/4/1,60,55.28
Jining,Shandong,2017/4/1,46,43.13
Jinzhou,Liaoning,2017/4/1,43,40.45
Jincheng,Shanxi,2017/4/1,53,46.61
Jiuquan,Gansu,2017/4/1,20,16.19
Kaifeng,Henan,2017/4/1,49,45.57
Kelamayi,Xinjiang,2017/4/1,14,12.68
Kezilesu,Xinjiang,2017/4/1,18,14.58
Lanzhou,Gansu,2017/4/1,39,30.46
Langfang,Hebei,2017/4/1,51,47.94
Liaocheng,Shandong,2017/4/1,69,64.82
Linxia,Gansu,2017/4/1,35,26.92
Linyi,Shandong,2017/4/1,54,50.07
Longnan,Gansu,2017/4/1,23,19.1
Lvliang,Shanxi,2017/4/1,36,30.72
Luoyang,Henan,2017/4/1,57,51.6
Mudanjiang,Heilongjiang,2017/4/1,47,44.15
